id;longitude;code_produit
167;43.5815581042858;way/68055687
168;42.5775592005214;node/5122915929
169;48.4106365324612;way/123858091
170;47.2395962001109;node/1376125538
171;49.4308141995865;node/3508266714
172;46.719931100217;node/8280989168
173;42.8631470005327;node/2405411600
174;48.5095066998138;node/8405529981
175;44.8407890004827;node/2895920901
176;42.7441990005285;node/1849421509
177;50.7195638993006;node/3517825535
178;47.1584557291616;way/512145719
179;49.5167736995657;node/3416822394
180;43.4912519005419;node/631661851
181;48.7628104997511;node/1655716159
182;43.6032216005412;node/448939822
183;48.6572106997773;node/8381847098
184;48.9508959997045;node/3643102379
185;45.6170379003977;node/6827729087
186;43.5353942005417;node/2757282649
187;43.6148145005411;node/724226226
188;43.6384809005408;node/3919124734
189;44.8166403004847;node/2859666202
190;43.8312749005374;node/2096734145
191;44.0619320005305;node/4977309086
192;45.7616383003778;node/7534121998
193;43.807242700538;node/6555695347
194;49.445009499583;node/8063441113
195;44.4316832433176;way/349221823
196;47.1036177001398;node/8421372856
197;45.6536320003928;node/7160260766
198;47.2679530001047;node/1126031142
199;47.2452291001097;node/6293992284
200;46.4606568230262;way/81926805
201;48.0826809310018;way/379435579
202;45.4683975004168;node/5148013913
203;48.5845816997953;node/5337208582
204;45.7450577360776;way/67100602
205;47.3698056000826;node/3370352767
206;48.9922500996942;node/306513298
207;44.3422558005176;node/5149298467
208;49.0921778790762;way/346444547
209;44.0912974005293;node/3391143591
210;47.2652408001053;node/4225298811
211;46.9775620001658;node/4336080125
212;47.7554131999953;node/496770164
213;43.7091673005398;node/7160716081
214;47.7834201999888;node/7356779398
215;48.4813452998208;node/4897671223
216;46.7390941002133;node/6829630386
217;45.7110810003849;node/6478746985
218;46.1882066059682;way/117208506
219;48.19816289989;node/2211651302
220;43.5283767005418;node/4556188891
221;48.8583771997274;node/3541592627
222;41.387497300433;node/835973096
223;49.8991204994754;node/3791816399
224;48.8464160997304;node/4691027133
225;48.0757091999196;node/3876574818
226;48.8717129997241;node/725097222
227;48.0984813999141;node/3676549407
228;47.2071714001178;node/652826823
229;50.7377839027882;way/63229945
230;49.0262071624366;way/183900581
231;48.0800895999185;node/7551397868
232;45.7576577214418;way/187384062
233;49.2804047155672;way/306031475
234;45.4692315004167;node/2069616841
235;46.0869316003288;node/5032027222
236;48.1832703998936;node/3165445638
237;43.6114343005411;node/724181322
238;47.7471265999972;node/7232933080
239;48.8506896997293;node/4185965139
240;48.8524762997289;node/3266833151
241;46.9712635001671;node/3371641285
